Sponsor_raw,Sponsor_clean,Sponsor_type
Hoffmann-La Roche,Hoffmann-La Roche,Industry
Beijing Tiantan Hospital,Beijing Tiantan Hospital,Hospital / medical center
Duke University,Duke University,Academic
Center Eugene Marquis,Center Eugene Marquis,Research institute / foundation
Wuhan University,Wuhan University,Academic
Ki Woong Kim,Ki Woong Kim,Individual
Danbury Hospital,Danbury Hospital,Hospital / medical center
Hoffmann-La Roche,Hoffmann-La Roche,Industry
Amgen,Amgen,Industry
Fudan University,Fudan University,Academic
Mediterranea Medica S. L.,Mediterranea Medica S. L.,Industry
Zunyi Medical College,Zunyi Medical College,Academic
Beijing Children's Hospital,Beijing Children's Hospital,Hospital / medical center
Laida Cuevas Palomares,Laida Cuevas Palomares,Individual
"Nihon Pharmaceutical Co., Ltd",Nihon Pharmaceutical,Industry
"Jiangsu HengRui Medicine Co., Ltd.",Jiangsu HengRui Medicine,Industry
Sun Yat-sen University,Sun Yat-sen University,Academic
Hospices Civils de Lyon,Hospices Civils de Lyon,Hospital / medical center
"Charite University, Berlin, Germany",Charite University,Academic
Ingrid Jazet,Ingrid Jazet,Individual
"Fondazione IRCCS Istituto Nazionale dei Tumori, Milano",Fondazione IRCCS Istituto Nazionale dei Tumori,Hospital / medical center
Institut de Recherche Clinique sur les Cancers et le Sang,Institut de Recherche Clinique sur les Cancers et le Sang,Research institute / foundation
Academic and Community Cancer Research United,Academic and Community Cancer Research United,Other / unknown
LI XIN-XIANG,LI XIN-XIANG,Individual
Hvidovre University Hospital,Hvidovre University Hospital,Hospital / medical center
Amgen,Amgen,Industry
Akeso,Akeso,Industry
Keimyung University Dongsan Medical Center,Keimyung University Dongsan Medical Center,Hospital / medical center
Seoul National University Hospital,Seoul National University Hospital,Hospital / medical center
"Alexion Pharmaceuticals, Inc.",Alexion Pharmaceuticals,Industry
Guangxi Medical University,Guangxi Medical University,Academic
Xijing Hospital,Xijing Hospital,Hospital / medical center
Swiss Cancer Institute,Swiss Cancer Institute,Research institute / foundation
Bayer,Bayer,Industry
Fudan University,Fudan University,Academic
Universidade Nova de Lisboa,Universidade Nova de Lisboa,Academic
Gynecologic Oncology Group,Gynecologic Oncology Group,Cooperative group / network
Erasmus Medical Center,Erasmus Medical Center,Hospital / medical center
Children's Oncology Group,Children's Oncology Group,Cooperative group / network
FDA Office of Orphan Products Development,FDA Office of Orphan Products Development,Government / public agency
ECOG-ACRIN Cancer Research Group,ECOG-ACRIN Cancer Research Group,Cooperative group / network
Fudan University,Fudan University,Academic
Amgen,Amgen,Industry
Eastern Cooperative Oncology Group,Eastern Cooperative Oncology Group,Cooperative group / network
Peplin,Peplin,Industry
"Helsinn Therapeutics (U.S.), Inc",Helsinn Therapeutics,Industry
SWOG Cancer Research Network,SWOG Cancer Research Network,Cooperative group / network
Asan Medical Center,Asan Medical Center,Hospital / medical center
CanariaBio Inc.,CanariaBio,Industry
AstraZeneca,AstraZeneca,Industry
The Netherlands Cancer Institute,The Netherlands Cancer Institute,Research institute / foundation
The Hospital for Sick Children,The Hospital for Sick Children,Hospital / medical center
NRG Oncology,NRG Oncology,Cooperative group / network
Leukemia Research Fund,Leukemia Research Fund,Research institute / foundation
St. Jude Children's Research Hospital,St. Jude Children's Research Hospital,Hospital / medical center
"Nanjing Sanhome Pharmaceutical, Co., Ltd.",Nanjing Sanhome Pharmaceutical,Industry
Spanish Breast Cancer Research Group,Spanish Breast Cancer Research Group,Cooperative group / network
"Sixth Affiliated Hospital, Sun Yat-sen University",Sun Yat-sen University,Academic
PETHEMA Foundation,PETHEMA Foundation,Research institute / foundation
ahmed nagy shaker ramadan,ahmed nagy shaker ramadan,Individual
Institut Curie,Institut Curie,Research institute / foundation
Aarhus University Hospital,Aarhus University Hospital,Hospital / medical center
"EMD Serono Research & Development Institute, Inc.",EMD Serono Research & Development Institute,Industry
Hoffmann-La Roche,Hoffmann-La Roche,Industry
Ferring Pharmaceuticals,Ferring Pharmaceuticals,Industry
Eastern Cooperative Oncology Group,Eastern Cooperative Oncology Group,Cooperative group / network
Shanghai Henlius Biotech,Shanghai Henlius Biotech,Industry
Cukurova University,Cukurova University,Academic
"Qilu Pharmaceutical Co., Ltd.",Qilu Pharmaceutical,Industry
Hoffmann-La Roche,Hoffmann-La Roche,Industry
Hotel Dieu de France Hospital,Hotel Dieu de France Hospital,Hospital / medical center
Polish Adult Leukemia Group,Polish Adult Leukemia Group,Cooperative group / network
Novartis,Novartis,Industry
Swiss Cancer Institute,Swiss Cancer Institute,Research institute / foundation
Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,Hospital / medical center
Lundbeck Canada Inc.,Lundbeck Canada,Industry
"ANRS, Emerging Infectious Diseases",ANRS Emerging Infectious Diseases,Government / public agency
Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA),Academisch Medisch Centrum Universiteit van Amsterdam,Hospital / medical center
Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,Hospital / medical center
Sun Yat-sen University,Sun Yat-sen University,Academic
Tan Tock Seng Hospital,Tan Tock Seng Hospital,Hospital / medical center
MEDA Pharma GmbH & Co. KG,MEDA Pharma,Industry
Merck Sharp & Dohme LLC,Merck Sharp & Dohme,Industry
Radboud University Medical Center,Radboud University Medical Center,Hospital / medical center
Heidelberg University,Heidelberg University,Academic
Tianjin Medical University Cancer Institute and Hospital,Tianjin Medical University Cancer Institute and Hospital,Hospital / medical center
Bristol-Myers Squibb,Bristol-Myers Squibb,Industry
"Oncternal Therapeutics, Inc",Oncternal Therapeutics,Industry
European Organisation for Research and Treatment of Cancer - EORTC,European Organisation for Research and Treatment of Cancer,Cooperative group / network
Auron Healthcare GmbH,Auron Healthcare,Industry
Alliance for Clinical Trials in Oncology,Alliance for Clinical Trials in Oncology,Cooperative group / network
Chulabhorn Cancer Center,Chulabhorn Cancer Center,Hospital / medical center
Leiden University,Leiden University,Academic
Asan Medical Center,Asan Medical Center,Hospital / medical center
Sanofi,Sanofi,Industry
Novartis Pharmaceuticals,Novartis Pharmaceuticals,Industry
Mayo Clinic,Mayo Clinic,Hospital / medical center
Bispebjerg Hospital,Bispebjerg Hospital,Hospital / medical center
"Changchun GeneScience Pharmaceutical Co., Ltd.",Changchun GeneScience Pharmaceutical,Industry
All India Institute of Medical Sciences,All India Institute of Medical Sciences,Academic
"University of Colorado, Denver",University of Colorado Denver,Academic
Ding Ma,Ding Ma,Individual
University Hospital Tuebingen,University Hospital Tuebingen,Hospital / medical center
Baylor Research Institute,Baylor Research Institute,Research institute / foundation
European Organisation for Research and Treatment of Cancer - EORTC,European Organisation for Research and Treatment of Cancer,Cooperative group / network
Sanofi,Sanofi,Industry
Merck Sharp & Dohme LLC,Merck Sharp & Dohme,Industry
Daiichi Sankyo,Daiichi Sankyo,Industry
London Health Sciences Centre Research Institute OR Lawson Research Institute of St. Joseph's,London Health Sciences Centre Research Institute,Research institute / foundation
FeRx,FeRx,Industry
Oncothyreon Canada Inc.,Oncothyreon Canada,Industry
"Sichuan Baili Pharmaceutical Co., Ltd.",Sichuan Baili Pharmaceutical,Industry
Fudan University,Fudan University,Academic
Shanghai Dermatology Hospital,Shanghai Dermatology Hospital,Hospital / medical center
Qianfoshan Hospital,Qianfoshan Hospital,Hospital / medical center
Chinese Academy of Medical Sciences,Chinese Academy of Medical Sciences,Research institute / foundation
Achieve Life Sciences,Achieve Life Sciences,Industry
Merck Sharp & Dohme LLC,Merck Sharp & Dohme,Industry
Scottish Cancer Therapy Network,Scottish Cancer Therapy Network,Cooperative group / network
"Mesoblast, Ltd.",Mesoblast Ltd.,Industry
The Norwegian Lung Cancer Study Group,Norwegian Lung Cancer Study Group,Cooperative group / network
Chongqing University Cancer Hospital,Chongqing University Cancer Hospital,Hospital / medical center
M.D. Anderson Cancer Center,MD Anderson Cancer Center,Hospital / medical center
ECOG-ACRIN Cancer Research Group,ECOG-ACRIN Cancer Research Group,Cooperative group / network
National Taiwan University Hospital,National Taiwan University Hospital,Hospital / medical center
Amgen,Amgen,Industry
John Elfar,John Elfar,Individual
AstraZeneca,AstraZeneca,Industry
Boehringer Ingelheim,Boehringer Ingelheim,Industry
Astellas Pharma Inc,Astellas Pharma Inc,Industry
"AbbVie (prior sponsor, Abbott)",AbbVie,Industry
Wake Forest University Health Sciences,Wake Forest University Health Sciences,Academic
University Medical Center Groningen,University Medical Center Groningen,Hospital / medical center
GWT-TUD GmbH,GWT-TUD GmbH,Other / unknown
"Fadoi Foundation, Italy",Fadoi Foundation,Research institute / foundation
"EMD Serono Research & Development Institute, Inc.",EMD Serono Research & Development Institute,Industry
Mount Carmel Health System,Mount Carmel Health System,Hospital / medical center
"Rakuten Medical, Inc.",Rakuten Medical,Industry
Nanjing PLA General Hospital,Nanjing PLA General Hospital,Hospital / medical center
The First Affiliated Hospital of Soochow University,First Affiliated Hospital of Soochow University,Hospital / medical center
Hoffmann-La Roche,Hoffmann-La Roche,Industry
Ramathibodi Hospital,Ramathibodi Hospital,Hospital / medical center
Hoffmann-La Roche,Hoffmann-La Roche,Industry
National Institute of Environmental Health Sciences (NIEHS),National Institute of Environmental Health Sciences,Government / public agency
AstraZeneca,AstraZeneca,Industry
Cambridge University Hospitals NHS Foundation Trust,Cambridge University Hospitals NHS Foundation Trust,Hospital / medical center
Italian Network for Tumor Biotherapy Foundation,Italian Network for Tumor Biotherapy Foundation,Research institute / foundation
Hoffmann-La Roche,Hoffmann-La Roche,Industry
Fujian Cancer Hospital,Fujian Cancer Hospital,Hospital / medical center
Cambridge University Hospitals NHS Foundation Trust,Cambridge University Hospitals NHS Foundation Trust,Hospital / medical center
GlaxoSmithKline,GlaxoSmithKline,Industry
Thomas Hope,Thomas Hope,Individual
Centre Leon Berard,Centre Leon Berard,Research institute / foundation
PharmaMar,PharmaMar,Industry
Hoffmann-La Roche,Hoffmann-La Roche,Industry
University of Rochester,University of Rochester,Academic
Fudan University,Fudan University,Academic
"Astellas Pharma Global Development, Inc.",Astellas Pharma Global Development,Industry
University of Florida,University of Florida,Academic
Jong Hoon Lee,Jong Hoon Lee,Individual
Benha University,Benha University,Academic
Novartis Pharmaceuticals,Novartis Pharmaceuticals,Industry
Alliance for Clinical Trials in Oncology,Alliance for Clinical Trials in Oncology,Cooperative group / network
Medical Research Council,Medical Research Council,Research institute / foundation
Merck Sharp & Dohme LLC,Merck Sharp & Dohme LLC,Industry
Zhejiang Hisun Pharmaceutical Co. Ltd.,Zhejiang Hisun Pharmaceutical Co. Ltd.,Industry
Second Military Medical University,Second Military Medical University,Academic
Hospital Universitari Vall d'Hebron Research Institute,Hospital Universitari Vall d'Hebron Research Institute,Research institute / foundation
"Kyowa Kirin Co., Ltd.",Kyowa Kirin,Industry
Pfizer,Pfizer,Industry
Amgen,Amgen,Industry
Ain Shams Maternity Hospital,Ain Shams Maternity Hospital,Hospital / medical center
Hospital do Servidor Publico Estadual,Hospital do Servidor Publico Estadual,Hospital / medical center
Copenhagen University Hospital at Herlev,Copenhagen University Hospital Herlev,Hospital / medical center
Eastern Cooperative Oncology Group,Eastern Cooperative Oncology Group,Cooperative group / network
Austrian Breast & Colorectal Cancer Study Group,Austrian Breast & Colorectal Cancer Study Group,Cooperative group / network
Exelixis,Exelixis,Industry
Universidade Federal do Rio de Janeiro,Universidade Federal do Rio de Janeiro,Academic
"Institute of Cancer Research, United Kingdom",Institute of Cancer Research,Research institute / foundation
Italfarmaco,Italfarmaco,Industry
Hoffmann-La Roche,Hoffmann-La Roche,Industry
Eisai Limited,Eisai Limited,Industry
Samsung Medical Center,Samsung Medical Center,Hospital / medical center
Hebei Medical University Fourth Hospital,Hebei Medical University Fourth Hospital,Hospital / medical center
SWOG Cancer Research Network,SWOG Cancer Research Network,Cooperative group / network
University of Giessen,University of Giessen,Academic
The Catholic University of Korea,The Catholic University of Korea,Academic
Assiut University,Assiut University,Academic
AGO Research GmbH,AGO Research GmbH,Industry
"Clinica Universidad de Navarra, Universidad de Navarra",Universidad de Navarra,Academic
Shanghai Henlius Biotech,Shanghai Henlius Biotech,Industry
Philipps University Marburg,Philipps University Marburg,Academic
Stanford University,Stanford University,Academic
"First Affiliated Hospital, Sun Yat-Sen University",Sun Yat-Sen University,Academic
Chonnam National University Hospital,Chonnam National University Hospital,Hospital / medical center
Baker Heart and Diabetes Institute,Baker Heart and Diabetes Institute,Research institute / foundation
Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University,Sun Yat-Sen University,Academic
Tata Memorial Hospital,Tata Memorial Hospital,Hospital / medical center
Fudan University,Fudan University,Academic
EVIVE Biotechnology,EVIVE Biotechnology,Industry
National Cancer Institute (NCI),National Cancer Institute,Government / public agency
"Mt. Sinai Medical Center, Miami",Mt. Sinai Medical Center,Hospital / medical center
Samsung Medical Center,Samsung Medical Center,Hospital / medical center
Exelixis,Exelixis,Industry
AstraZeneca,AstraZeneca,Industry
DHR Health Institute for Research and Development,DHR Health Institute for Research and Development,Research institute / foundation
Hoffmann-La Roche,Hoffmann-La Roche,Industry
Peking University,Peking University,Academic
"Nanjing Luye Sike Pharmaceutical Co., Ltd.",Nanjing Luye Sike Pharmaceutical,Industry
Incyte Corporation,Incyte Corporation,Industry
European Organisation for Research and Treatment of Cancer - EORTC,European Organisation for Research and Treatment of Cancer,Cooperative group / network
Novartis Pharmaceuticals,Novartis Pharmaceuticals,Industry
AstraZeneca,AstraZeneca,Industry
Assiut University,Assiut University,Academic
"RayzeBio, Inc.",RayzeBio,Industry
Mansoura University,Mansoura University,Academic
Merck Sharp & Dohme LLC,Merck Sharp & Dohme,Industry
Tang-Du Hospital,Tang-Du Hospital,Hospital / medical center
"Shanghai Junshi Bioscience Co., Ltd.",Shanghai Junshi Bioscience,Industry
Institut fuer Frauengesundheit,Institut fuer Frauengesundheit,Other / unknown
Queensland Centre for Gynaecological Cancer,Queensland Centre for Gynaecological Cancer,Research institute / foundation
VA Office of Research and Development,VA Office of Research and Development,Government / public agency
University of Texas Southwestern Medical Center,University of Texas Southwestern Medical Center,Hospital / medical center
Ontario Clinical Oncology Group (OCOG),Ontario Clinical Oncology Group,Cooperative group / network
Alliance for Clinical Trials in Oncology,Alliance for Clinical Trials in Oncology,Cooperative group / network
Sherief Abd-Elsalam,Sherief Abd-Elsalam,Individual
Sun Yat-sen University,Sun Yat-sen University,Academic
Novartis Pharmaceuticals,Novartis Pharmaceuticals,Industry
Merck Sharp & Dohme LLC,Merck Sharp & Dohme,Industry
Chinese PLA General Hospital,Chinese PLA General Hospital,Hospital / medical center
Ipsen,Ipsen,Industry
Sun Yat-sen University,Sun Yat-sen University,Academic
AstraZeneca,AstraZeneca,Industry
AbbVie,AbbVie,Industry
Sun Yat-sen University,Sun Yat-sen University,Academic
Centre Francois Baclesse,Centre Francois Baclesse,Research institute / foundation
Catherine Naseef Hunter,Catherine Naseef Hunter,Individual
Sun Yat-sen University,Sun Yat-sen University,Academic
Sun Yat-sen University,Sun Yat-sen University,Academic
Korea University,Korea University,Academic
Sun Yat-sen University,Sun Yat-sen University,Academic
Pfizer,Pfizer,Industry
University of Oxford,University of Oxford,Academic
Novartis Pharmaceuticals,Novartis Pharmaceuticals,Industry
Medical University of Graz,Medical University of Graz,Academic
Seoul National University Hospital,Seoul National University Hospital,Hospital / medical center
Guangdong Provincial People's Hospital,Guangdong Provincial People's Hospital,Hospital / medical center
Philips Healthcare,Philips Healthcare,Industry
Hoffmann-La Roche,Hoffmann-La Roche,Industry
Novartis Pharmaceuticals,Novartis Pharmaceuticals,Industry
"University Hospital, Rouen","University Hospital, Rouen",Hospital / medical center
Peking University,Peking University,Academic
Helsinki University Central Hospital,Helsinki University Central Hospital,Hospital / medical center
Fujian Medical University,Fujian Medical University,Academic
University of Alberta,University of Alberta,Academic
East Valley Hematology and Oncology Medical Group,East Valley Hematology and Oncology Medical Group,Other / unknown
Nobelpharma,Nobelpharma,Industry
Johns Hopkins University,Johns Hopkins University,Academic
"Nippon Kayaku Co., Ltd.",Nippon Kayaku,Industry
Blokhin's Russian Cancer Research Center,Blokhin Russian Cancer Research Center,Research institute / foundation
Kocaeli University,Kocaeli University,Academic
Pfizer,Pfizer,Industry
Sun Yat-sen University,Sun Yat-sen University,Academic
Amphera BV,Amphera BV,Industry
Takeda,Takeda,Industry
Tata Memorial Hospital,Tata Memorial Hospital,Hospital / medical center
"Johannes Laengle, MD, PhD",Johannes Laengle,Individual
Peking University People's Hospital,Peking University People's Hospital,Hospital / medical center
"RemeGen Co., Ltd.",RemeGen,Industry
Merck Sharp & Dohme LLC,Merck Sharp & Dohme,Industry
University of Texas Southwestern Medical Center,University of Texas Southwestern Medical Center,Hospital / medical center
"Coordinación de Investigación en Salud, Mexico","Coordinación de Investigación en Salud, Mexico",Other / unknown
Dendreon,Dendreon,Industry
Assistance Publique - Hôpitaux de Paris,Assistance Publique - Hôpitaux de Paris,Hospital / medical center
Eastern Hepatobiliary Surgery Hospital,Eastern Hepatobiliary Surgery Hospital,Hospital / medical center
Leiden University Medical Center,Leiden University Medical Center,Hospital / medical center
"Taiho Pharmaceutical Co., Ltd.",Taiho Pharmaceutical,Industry
Chinese University of Hong Kong,Chinese University of Hong Kong,Academic
Swiss Cancer Institute,Swiss Cancer Institute,Research institute / foundation
Bristol-Myers Squibb,Bristol-Myers Squibb,Industry
Yale University,Yale University,Academic
Tel-Aviv Sourasky Medical Center,Tel-Aviv Sourasky Medical Center,Hospital / medical center
Guangdong Association of Clinical Trials,Guangdong Association of Clinical Trials,Other / unknown
Hoffmann-La Roche,Hoffmann-La Roche,Industry
Minia University,Minia University,Academic
Alliance for Clinical Trials in Oncology,Alliance for Clinical Trials in Oncology,Cooperative group / network
"Janssen Korea, Ltd., Korea",Janssen Korea,Industry
Hoffmann-La Roche,Hoffmann-La Roche,Industry
argenx,argenx,Industry
Indiana University,Indiana University,Academic
Shanghai University of Traditional Chinese Medicine,Shanghai University of Traditional Chinese Medicine,Academic
Riverside Haematology Group,Riverside Haematology Group,Other / unknown
Fox Chase Cancer Center,Fox Chase Cancer Center,Hospital / medical center
Achieve Life Sciences,Achieve Life Sciences,Industry
Gilead Sciences,Gilead Sciences,Industry
Sun Yat-sen University,Sun Yat-sen University,Academic
Chinese Society of Lung Cancer,Chinese Society of Lung Cancer,Other / unknown
Hoffmann-La Roche,Hoffmann-La Roche,Industry
AlloVir,AlloVir,Industry
"Shanghai Junshi Bioscience Co., Ltd.",Shanghai Junshi Bioscience,Industry
Catholic University of the Sacred Heart,Catholic University of the Sacred Heart,Academic
Hoffmann-La Roche,Hoffmann-La Roche,Industry
Zhejiang Cancer Hospital,Zhejiang Cancer Hospital,Hospital / medical center
Barr Laboratories,Barr Laboratories,Industry
"University Hospital, Strasbourg, France","University Hospital, Strasbourg",Hospital / medical center
ISDIN,ISDIN,Industry
Hospital Universitario Dr. Jose E. Gonzalez,Hospital Universitario Dr. Jose E. Gonzalez,Hospital / medical center
Kyverna Therapeutics,Kyverna Therapeutics,Industry
All India Institute of Medical Sciences,All India Institute of Medical Sciences,Academic
Boehringer Ingelheim,Boehringer Ingelheim,Industry
Bayer,Bayer,Industry
Catalysis SL,Catalysis SL,Industry
"Bangabandhu Sheikh Mujib Medical University, Dhaka, Bangladesh",Bangabandhu Sheikh Mujib Medical University,Academic
University of Utah,University of Utah,Academic
"Alberta Health Services, Calgary",Alberta Health Services,Hospital / medical center
Tampere University,Tampere University,Academic
University of Florida,University of Florida,Academic
Xinjiang Medical University,Xinjiang Medical University,Academic
NovoCure Ltd.,NovoCure Ltd.,Industry
Guangxi Medical University,Guangxi Medical University,Academic
Societe Internationale d'Oncologie Pediatrique,Societe Internationale d'Oncologie Pediatrique,Cooperative group / network
Fudan University,Fudan University,Academic
Sir Mortimer B. Davis - Jewish General Hospital,Jewish General Hospital,Hospital / medical center
Vejle Hospital,Vejle Hospital,Hospital / medical center
Novartis Pharmaceuticals,Novartis Pharmaceuticals,Industry
Children's Oncology Group,Children's Oncology Group,Cooperative group / network
AOP Orphan Pharmaceuticals AG,AOP Orphan Pharmaceuticals AG,Industry
Kansai Hepatobiliary Oncology Group,Kansai Hepatobiliary Oncology Group,Cooperative group / network
AbbVie,AbbVie,Industry
Eli Lilly and Company,Eli Lilly and Company,Industry
Mayo Clinic,Mayo Clinic,Hospital / medical center
Children's Cancer and Leukaemia Group,Children's Cancer and Leukaemia Group,Cooperative group / network
Spear Pharmaceuticals,Spear Pharmaceuticals,Industry
Fudan University,Fudan University,Academic
"Tesaro, Inc.","Tesaro, Inc.",Industry
Blokhin's Russian Cancer Research Center,Blokhin Russian Cancer Research Center,Research institute / foundation
Saudi German Hospital - Madinah,Saudi German Hospital,Hospital / medical center
The University of Hong Kong,The University of Hong Kong,Academic
Dartmouth-Hitchcock Medical Center,Dartmouth-Hitchcock Medical Center,Hospital / medical center
Brigham and Women's Hospital,Brigham and Women's Hospital,Hospital / medical center
Mundipharma Korea Ltd,Mundipharma Korea Ltd,Industry
AstraZeneca,AstraZeneca,Industry
"Janssen Research & Development, LLC","Janssen Research & Development, LLC",Industry
ActiViews Ltd.,ActiViews Ltd.,Industry
Tongji University,Tongji University,Academic
Ipsen,Ipsen,Industry
German CLL Study Group,German CLL Study Group,Cooperative group / network
Telik,Telik,Industry
"Second Affiliated Hospital, School of Medicine, Zhejiang University",Zhejiang University,Academic
Biogen,Biogen,Industry
LI XIN-XIANG,LI XIN-XIANG,Individual
Zhejiang Cancer Hospital,Zhejiang Cancer Hospital,Hospital / medical center
Alliance for Clinical Trials in Oncology,Alliance for Clinical Trials in Oncology,Cooperative group / network
Tata Memorial Hospital,Tata Memorial Hospital,Hospital / medical center
AnewPharma,AnewPharma,Industry
Peking University Cancer Hospital & Institute,Peking University Cancer Hospital & Institute,Hospital / medical center
Roswell Park Cancer Institute,Roswell Park Cancer Institute,Research institute / foundation
Shandong Cancer Hospital and Institute,Shandong Cancer Hospital and Institute,Hospital / medical center
German CLL Study Group,German CLL Study Group,Cooperative group / network
The Lymphoma Academic Research Organisation,The Lymphoma Academic Research Organisation,Cooperative group / network
McGill University Health Centre/Research Institute of the McGill University Health Centre,McGill University Health Centre,Hospital / medical center
Radiation Therapy Oncology Group,Radiation Therapy Oncology Group,Cooperative group / network
Lixia Sheng,Lixia Sheng,Individual
Teva Pharmaceuticals USA,Teva Pharmaceuticals USA,Industry
Sun Yat-sen University,Sun Yat-sen University,Academic
Novartis,Novartis,Industry
AbbVie,AbbVie,Industry
"Peter MacCallum Cancer Centre, Australia",Peter MacCallum Cancer Centre,Hospital / medical center
Philogen S.p.A.,Philogen S.p.A.,Industry
Chinese Academy of Medical Sciences,Chinese Academy of Medical Sciences,Research institute / foundation
"Cougar Biotechnology, Inc.","Cougar Biotechnology, Inc.",Industry
Debiopharm International SA,Debiopharm International SA,Industry
University of Louisville,University of Louisville,Academic
National Cancer Institute (NCI),National Cancer Institute,Government / public agency
GTx,GTx,Industry
Radboud University Medical Center,Radboud University Medical Center,Hospital / medical center
Weill Medical College of Cornell University,Weill Medical College of Cornell University,Academic
Newron Pharmaceuticals SPA,Newron Pharmaceuticals SPA,Industry
Alliance for Clinical Trials in Oncology,Alliance for Clinical Trials in Oncology,Cooperative group / network
"Gustave Roussy, Cancer Campus, Grand Paris",Gustave Roussy,Research institute / foundation
German CLL Study Group,German CLL Study Group,Cooperative group / network
British Columbia Cancer Agency,British Columbia Cancer Agency,Research institute / foundation
University of Texas Southwestern Medical Center,University of Texas Southwestern Medical Center,Academic
Mahidol University,Mahidol University,Academic
"Jiangsu HengRui Medicine Co., Ltd.","Jiangsu HengRui Medicine Co., Ltd.",Industry
Hoffmann-La Roche,Hoffmann-La Roche,Industry
AstraZeneca,AstraZeneca,Industry
Imperial College London,Imperial College London,Academic
Radiation Therapy Oncology Group,Radiation Therapy Oncology Group,Cooperative group / network
Institut Claudius Regaud,Institut Claudius Regaud,Research institute / foundation
Hoffmann-La Roche,Hoffmann-La Roche,Industry
Fudan University,Fudan University,Academic
baotai Liang,baotai Liang,Individual
AstraZeneca,AstraZeneca,Industry
"Jiangsu HengRui Medicine Co., Ltd.","Jiangsu HengRui Medicine Co., Ltd.",Industry
Hoffmann-La Roche,Hoffmann-La Roche,Industry
"Sol-Gel Technologies, Ltd.","Sol-Gel Technologies, Ltd.",Industry
"Charite University, Berlin, Germany",Charite University,Hospital / medical center
Eisai Inc.,Eisai Inc.,Industry
AstraZeneca,AstraZeneca,Industry
M.D. Anderson Cancer Center,MD Anderson Cancer Center,Hospital / medical center
Sun Yat-sen University,Sun Yat-sen University,Academic
Asan Medical Center,Asan Medical Center,Hospital / medical center
Gynecologic Oncology Group,Gynecologic Oncology Group,Cooperative group / network
Catharina Ziekenhuis Eindhoven,Catharina Ziekenhuis Eindhoven,Hospital / medical center
Taian Cancer Hospital,Taian Cancer Hospital,Hospital / medical center
The University of Hong Kong,The University of Hong Kong,Academic
European Organisation for Research and Treatment of Cancer - EORTC,European Organisation for Research and Treatment of Cancer,Cooperative group / network
Tessa Therapeutics,Tessa Therapeutics,Industry
Merck Sharp & Dohme LLC,Merck Sharp & Dohme LLC,Industry
Fresenius Medical Care Deutschland GmbH,Fresenius Medical Care Deutschland GmbH,Industry
Shaogang Wang,Shaogang Wang,Individual
Eastern Cooperative Oncology Group,Eastern Cooperative Oncology Group,Cooperative group / network
NCIC Clinical Trials Group,NCIC Clinical Trials Group,Cooperative group / network
PETHEMA Foundation,PETHEMA Foundation,Research institute / foundation
Novartis Pharmaceuticals,Novartis Pharmaceuticals,Industry
National Cancer Institute (NCI),National Cancer Institute,Government / public agency
European Organisation for Research and Treatment of Cancer - EORTC,European Organisation for Research and Treatment of Cancer,Cooperative group / network
UCB Biopharma SRL,UCB Biopharma,Industry
Hospital de Clinicas de Porto Alegre,Hospital de Clinicas de Porto Alegre,Hospital / medical center
Radiation Therapy Oncology Group,Radiation Therapy Oncology Group,Cooperative group / network
University of British Columbia,University of British Columbia,Academic
Vejle Hospital,Vejle Hospital,Hospital / medical center
Alliance for Clinical Trials in Oncology,Alliance for Clinical Trials in Oncology,Cooperative group / network
Pfizer,Pfizer,Industry
The Second Affiliated Hospital of Chongqing Medical University,Chongqing Medical University,Academic
Eastern Virginia Medical School,Eastern Virginia Medical School,Academic
New Mexico Cancer Research Alliance,New Mexico Cancer Research Alliance,Cooperative group / network
Eastern Cooperative Oncology Group,Eastern Cooperative Oncology Group,Cooperative group / network
GOG Foundation,GOG Foundation,Cooperative group / network
Mario Negri Institute for Pharmacological Research,Mario Negri Institute for Pharmacological Research,Research institute / foundation
Novartis Pharmaceuticals,Novartis Pharmaceuticals,Industry
Monash University,Monash University,Academic
Sanofi,Sanofi,Industry
Boston Scientific Corporation,Boston Scientific Corporation,Industry
Hospital Universitari Joan XXIII de Tarragona.,Hospital Universitari Joan XXIII de Tarragona,Hospital / medical center
"Genentech, Inc.",Genentech,Industry
St. Olavs Hospital,St. Olavs Hospital,Hospital / medical center
Zhigang Zhang,Zhigang Zhang,Individual
Shanghai Henlius Biotech,Shanghai Henlius Biotech,Industry
Shanghai Jiao Tong University School of Medicine,Shanghai Jiao Tong University,Academic
Celgene,Celgene,Industry
Institut fuer Frauengesundheit,Institut fuer Frauengesundheit,Research institute / foundation
"Rajiv Gandhi Cancer Institute & Research Center, India",Rajiv Gandhi Cancer Institute & Research Center,Hospital / medical center
Tularik,Tularik,Industry
xiaoliang Huang,xiaoliang Huang,Individual
Lymphoma Study Association,Lymphoma Study Association,Cooperative group / network
Assistance Publique - Hôpitaux de Paris,Assistance Publique - Hôpitaux de Paris,Hospital / medical center
Merck Sharp & Dohme LLC,Merck Sharp & Dohme,Industry
Baxter Healthcare Corporation,Baxter Healthcare,Industry
